FightID,Fighter,Opponent,FighterAge,OpponentAge,Outcome,WeightClass,GenderBool,ChampBoutBool
141,Charlie Campbell,Trevor Peek,28,29,1,Lightweight,False,False
141,Trevor Peek,Charlie Campbell,29,28,0,Lightweight,False,False
142,Alex Morono,Court McGee,33,39,1,Welterweight,False,False
142,Court McGee,Alex Morono,39,33,0,Welterweight,False,False
143,Lukasz Brzeski,Valter Walker,31,26,1,Heavyweight,False,False
143,Valter Walker,Lukasz Brzeski,26,31,0,Heavyweight,False,False
144,Norma Dumont,Germaine de Randamie,33,39,1,Women's Bantamweight,True,False
144,Germaine de Randamie,Norma Dumont,39,33,0,Women's Bantamweight,True,False
145,Victor Hugo,Pedro Falcao,31,31,1,Bantamweight,False,False
145,Pedro Falcao,Victor Hugo,31,31,0,Bantamweight,False,False
146,Jean Matsumoto,Dan Argueta,24,30,1,Bantamweight,False,False
146,Dan Argueta,Jean Matsumoto,30,24,0,Bantamweight,False,False
147,Cesar Almeida,Dylan Budka,36,24,1,Middleweight,False,False
147,Dylan Budka,Cesar Almeida,24,36,0,Middleweight,False,False
148,Nora Cornolle,Melissa Mullins,34,32,1,Women's Bantamweight,True,False
148,Melissa Mullins,Nora Cornolle,32,34,0,Women's Bantamweight,True,False
149,Manon Fiorot,Erin Blanchfield,34,24,1,Women's Flyweight,True,False
149,Erin Blanchfield,Manon Fiorot,24,34,0,Women's Flyweight,True,False
150,Joaquin Buckley,Vicente Luque,29,32,1,Welterweight,False,False
150,Vicente Luque,Joaquin Buckley,32,29,0,Welterweight,False,False
151,Chris Weidman,Bruno Silva,39,34,1,Middleweight,False,False
151,Bruno Silva,Chris Weidman,34,39,0,Middleweight,False,False
152,Nursulton Ruziboev,Sedriques Dumas,30,28,1,Middleweight,False,False
152,Sedriques Dumas,Nursulton Ruziboev,28,30,0,Middleweight,False,False
153,Kyle Nelson,Bill Algeo,32,34,1,Featherweight,False,False
153,Bill Algeo,Kyle Nelson,34,32,0,Featherweight,False,False
154,Chidi Njokuani,Rhys McKee,35,28,1,Welterweight,False,False
154,Rhys McKee,Chidi Njokuani,28,35,0,Welterweight,False,False
